script,align,style,size,color,type
두 개의 단서를 찾은 나는 오랫동안 항해를 했지만,c,n,17,w,n
다른 단서는 더 찾을 수 없었다.,c,n,17,w,n
점점 피로가 쌓이고 졸음이 몰려와 눈꺼풀이 무거워지기 시작했다...,c,n,17,g,n
조심해!!,l,i,19,w,s
누군가의 소리침에 나는 잠에서 번쩍 깨어났다.,c,n,17,w,n
바다에 빠져 상어의 밥이 될 뻔한 나는 그 사람에게 인사했다.,c,n,17,w,n
감사합니다. 덕분에 살았어요. 그쪽도 해커이신가요?,r,i,17,g,s
맞아. 난 해커 SICV다.,l,i,17,g,s
그대도 플루리의 대선장이 되기 위해 여정을 시작했나보군.,l,i,17,g,s
괜찮다면 함께 크루를 맺어 다니는 편이 어떤가?,l,i,17,g,s
저도 동료가 필요하다고 생각하던 참이였어요.,r,i,17,g,s
그럼 서명을 공유해 볼까요?,r,i,17,g,s
당신은 무슨 단서를 발견했나요?,r,i,17,g,s
내가 찾은 서명에는 [사귄다] 라고 적혀있었다만.,l,i,18,b,s
[보충] [설계] [사귄다]...,c,b,19,b,n
장소에 대한 단서는 다 나온 것 같다.,c,n,17,w,n
하지만 아직은 이 단서들로 무엇을 해야할지 알기 어려웠다.,c,n,17,w,n
함께 항해를 한다면 마지막 단서도 금방 찾을 수 있을 거다.,l,i,17,g,s
SICV가 내 어깨를 두드리며 말했다.,c,n,17,w,n
크루와 함께라면 분명 보물을 찾을 수 있을 것이다.,c,n,17,w,n
왠지 다음 항해에서 보물을 찾을 수 있을 것 같은 희망이 생겼다.,c,n,17,w,n
