script,align,style,size,color,type
이곳은 바다 위를 항해하며 살아가는,c,n,17,w,n
해(海)커들의 나라 플루리.,c,n,17,w,n
오늘은 대선장의 중대발표를 듣기 위해 사람들이 모였다.,c,n,17,w,n
나도 대선장 자리에 오른지 시간이 많이 흘렀지.,l,i,17,g,s
이 시간부로 나의 후계자를 선출하는 경합을 시작하겠다!,l,i,17,g,s
대선장의 말을 끝으로 화려한 음악이 울려퍼지고,c,n,17,w,n
곧 보좌관이 단상에 서서 소리쳤다.,c,n,17,w,n
아아! 다들 주목해주십시오.,l,i,17,g,s
플루리의 대선장이 되기 위해서는,l,i,17,g,s
바다를 항해하며 대선장의 서명을 찾아내고,l,i,17,g,s
보물이 숨겨진 위치를 찾아내야합니다!,l,i,17,g,s
모두의 무운을 빌겠습니다!,l,i,17,g,s
오랜 항해 끝에 나는 대선장의 서명 하나를 찾아낼 수 있었다.,c,n,17,w,n
상자 속의 쪽지를 펼치자 이렇게 써져있었다.,c,n,17,w,n
[ 보충 ],c,b,19,b,n
보충? 뭘 보충하라는 거지?,r,i,17,g,s
일단은 다른 서명을 더 찾아봐야겠어.,r,i,17,g,s
